n_components,cumulative_variance_explained,variance_percent,recommendation_flag,final_recommendation
16,0.26181265711784363,26.181264877319336,INTERMEDIATE_REQUIRED,TWO_STAGE
32,0.352813184261322,35.28131866455078,,
64,0.4538378417491913,45.383785247802734,,
100,0.5203266143798828,52.03266143798828,,
256,0.6587373614311218,65.87373352050781,,
512,0.7678782343864441,76.78782653808594,,
1000,0.8835386037826538,88.3538589477539,,
